schema_version,benchmark_version,python_version,execution_context,seed,games,target_score,strategy_a,strategy_b,preparation_seconds_a,preparation_seconds_b,training_turns_a,training_turns_b,model_size_bytes_a,model_size_bytes_b,complexity_note_a,complexity_note_b,evaluation_seconds,games_per_second,starts_a,starts_b,wins_a,wins_b,ties,turns_a,turns_b,farkles_a,farkles_b,win_rate_a,win_rate_b,tie_rate,win_rate_difference_pp,avg_score_a,avg_score_b,farkle_rate_a,farkle_rate_b,avg_turns_per_game,seconds_per_game
1,farkle-classroom-v1,3.11.6,dsct-course-runner,17,10,4000,learner:500,bank_at_425,0.0038394000148400664,3.5999692045152187e-06,500,0,2777,0,transparent learned table; preparation required; turn-score bucket + dice-remaining state,single rule/function,0.0016327000339515507,6124.823783948512,5,5,3,7,0,106,108,9,49,0.3,0.7,0.0,-40.0,3270.0,4240.0,0.08490566037735849,0.4537037037037037,21.4,0.00016327000339515506
1,farkle-classroom-v1,3.11.6,dsct-course-runner,6262,10,4000,learner:500,bank_at_425,0.0039035999798215926,3.5999692045152187e-06,500,0,2397,0,transparent learned table; preparation required; turn-score bucket + dice-remaining state,single rule/function,0.001650199992582202,6059.871557963219,5,5,6,4,0,111,110,11,60,0.6,0.4,0.0,19.999999999999996,3885.0,3650.0,0.0990990990990991,0.5454545454545454,22.1,0.0001650199992582202
1,farkle-classroom-v1,3.11.6,dsct-course-runner,2026,10,4000,learner:500,bank_at_425,0.003683200047817081,4.200031980872154e-06,500,0,2565,0,transparent learned table; preparation required; turn-score bucket + dice-remaining state,single rule/function,0.0013210999895818532,7569.4497606991445,5,5,8,2,0,95,92,5,48,0.8,0.2,0.0,60.00000000000001,3930.0,3055.0,0.05263157894736842,0.5217391304347826,18.7,0.00013210999895818532
